Headline,Category
Somalia's capital hit by major terror attack amid busy electoral schedule,terrorism
"4 killed, 12 injured in YPG/PKK rocket attack in Syria's Azaz",terrorism
2 PMU forces martyred in ISIL attack on Iraq's Samarra,terrorism
Civillian killed in terrorist attack in Syria's al-Bab,terrorism
"Two killed, eight kidnap victims rescued as Katsina police, terrorists clash",terrorism
Suicide bomber kills more than 10 at tea shop in Somalia,terrorism
Syrian students demand justice after YPG/PKK kill classmates,terrorism
University students among dead in YPG/PKK missile attack in Syria,terrorism
Al-Shabaab abducts Kenyan doctor in Mandera near Somalia border,terrorism
A woman injured in a terrorist rocket attack on a village in Hama,terrorism
"Terrorists kill 5, burn tanker laden with 33,000 litres of fuel along Brinin-Gwari-Kaduna highway",terrorism
"Terrorists kill five, raze petrol-laden tanker in Kaduna",terrorism
"Police and witnesses: At least 20 dead, 40 wounded in extremist attack on hotel in Somali capital",terrorism
Terror in Peshawar: 30 worshipers martyred in mosque suicide attack,terrorism
Suicide bombing at Shi’ite mosque in Pakistan’s Peshawar kills at least 30,terrorism
"Suicide blast in Peshawar mosque claims at least 30 lives, injures more than 80",terrorism
"45 killed, 65 injured in major bomb blast inside Peshawar mosque during prayer",terrorism
Terror stabbing attack in Jerusalem's Old City injures two,terrorism
31 soldiers martyred and injured in a terrorist attack in Palmyra desert,terrorism
56 People Killed in Suicide Bombing at Mosque in Peshawar,terrorism
Daesh attack kills 15 Assad regime soldiers in Syria,terrorism
Al Shabab says killed six people in Kenya’s Lamu,terrorism
Terrorists kidnap 46 in Kaduna community,terrorism
"Four Israelis killed in stabbing attack in Beersheba, terrorist shot dead",terrorism
Six Niger troops killed in 'terrorist' attack,terrorism
Terrorist attack on a police station in Bogotá leaves 11 injured,terrorism
Five dead in al Shabab attack on military base in Puntland,terrorism
"Civilian killed, 7 injured in YPG/PKK attack in northern Syria",terrorism
Suspected Daesh attack kills dozens of Mali soldiers,terrorism
Terror in Hadera: Two Border Police officers killed in ISIS attack,terrorism
Terrorist group kills 2 members of Internal Security Forces in Daraa,terrorism
Suspected Islamist attack frees hundreds of prisoners in Nigeria,terrorism
"US-backed YPG/PKK terrorists abduct civilians, burn homes in Syria",terrorism
Turkish-linked terrorist groups shell the vicinity of Ayn Issa city and M4,terrorism
"Shock, as terror attack on Army base claims 17 soldiers",terrorism
Two civilians  injured in a terrorist attack with shells on the village of Al-Baraka in Hama countryside,terrorism
Sarpanch shot dead by terrorists in Kashmir: Police,terrorism
YPG/PKK burns office of Kurdish opposition group in Hassakeh,terrorism
Boko Haram/ISWAP kill dozens of partygoers in Yobe,terrorism
Deadly blasts claimed by IS terror group hit northern Afghan cities,terrorism
"Boko Haram kills 9 in bar, razes technical school in Yobe",terrorism
"Terror in Jammu ahead of PM Modi's visit; CISF officer, 2 terrorists killed",terrorism
"Islamic State claims Nigeria bombing, says about 30 killed or hurt",terrorism
At least 31 dead as ISIL claimed blasts rock Afghan cities,terrorism
"Army officer martyred, another injured in Balochistan terrorist attack",terrorism
YPG terrorists abduct 15-year-old girl in northern Syria,terrorism
"Civilian killed, 5 injured in 2 suspected YPG/PKK attacks in Syria",terrorism
Three soldiers martyred in terrorist attack from across Pak-Afghan border: ISPR,terrorism
Mali jihadists claim capture of fighter with Russia's Wagner,terrorism
BREAKING: 59 dead as Al Shabab attacks AU military base in Somalia,terrorism
3 Jews Murdered in Terror Attack in Elad,terrorism
"Israel struck by series of suspected terrorist attacks in Jerusalem, Tekoa",terrorism
"Boko Haram kills 9 villagers in Chibok attack, destroy houses",terrorism
BREAKING: 11 Egyptian Soldiers Killed in Terrorist Attack Near Suez Canal,terrorism
"Boko Haram, Others Ambush Soldiers; Attack 4 States In 6 Hours",terrorism
Two civilians killed in Boko Haram attack in Cameroon,terrorism
"Suspected Boko Haram Terrorists Attack Borno, Abduct Several Passengers",terrorism
At least 50 killed in suspected Boko Haram attack in Nigeria�s Borno,terrorism
PKK roadside bomb kills Danish tourist in northern Iraq,terrorism
Terror attack in Mogadishu: Al-Shabab group attacks a hotel in Somalia,terrorism
"Officer, 4 soldiers murdered in terrorist attack in North Sinai, seven takfiris killed",terrorism
At least ten civilians killed in extremist attack in northern Burkina Faso,terrorism
"News Live: At least 20 dead, 40 wounded in extremist attack on hotel in Somali capital",terrorism
Kenya on alert after Al Shabab attacked AU troops in Somalia,terrorism
Al Shabab ambushes Somali military base in Lower Shabelle,terrorism
"Libya: Suicide Bomber Strike Army Checkpoint in Zella, No Casualties",terrorism
Pakistan: Two soldiers killed in terrorist attack in North Waziristan,terrorism
6 killed in ISIS attack in northern Iraq,terrorism
Extremists kill dozens in latest attack,terrorism
6 killed in ISIS attack in northern Iraq,terrorism
Latest:   Somalia: Al Shabab attack kills two soldiers near Marka town,terrorism
PKK kills 2 minors during attack in northern Iraq: KRG,terrorism
Terrorist Shot During Stabbing Attack in Gush Etzion,terrorism
3 soldiers injured in blast at Jammu and Kashmir's Shopian,terrorism
Police officer shot dead by terrorists in Kashmir’s Pulwama,terrorism
Daesh Syria ambush kills 15  pro-gov’t fighters — monitor,terrorism
Jihadist group kills 132 civilians in central Mali,terrorism
Three Slightly Injured in Terrorist Attack at Kever Yosef Hatzadik in Shechem,terrorism
Man stabbed near Givat Shmuel in suspected terror attack,terrorism
"Man in Serious Condition, in Suspected Terrorist Attack Near Bnei Brak",terrorism
Malian army reports 21 dead in terrorist attack,terrorism
40 killed in three attacks by suspected jihadists in Burkina Faso,terrorism
At Least 6 Killed in Burkina Suspected Jihadist Attacks,terrorism
"Burkina Faso: At least 12 dead, including three soldiers, in attacks",terrorism
Rocket attack in rebel-held Syrian town kills at least 3 (AP),terrorism
Around 300 inmates on the run after suspected Boko Haram raid on Nigeria prison (Reuters),terrorism
ISIL attack on N Mali leaves dozens killed,terrorism
"Lt Col Laiq Baig Mirza embraces martyrdom after terrorists abduct, shoot him: ISPR",terrorism
"Again, terrorists abduct two Kaduna Catholic priests",falseflag
"Nine civilians slain by terror group in Nduga, Papua",falseflag
Karachi police fear resurgence of sectarian terrorism,falseflag
SNA troops seize villages from Al-Shabaab in central Somalia,falseflag
"Terror incidents may rise in Pakistan in next two months, fears Sheikh Rasheed",falseflag
Retired British general: Afghanistan on cusp of becoming terrorists’ hotbed in wake of West’s failed war,falseflag
5 YPG/PKK terrorists killed after infiltration attempt in Syria,falseflag
Tunisia thwarts alleged terrorist attack targeting tourist areas,falseflag
Syria Kurds hunt down terrorists after prison attack,falseflag
Daesh terror threat returns to region as attacks rise,falseflag
"Biden Says U.S. Killed ISIS Leader in Rare Syria Operation ISIS Leader Killed in Syria Commando Operation Overnight, Biden Announces",falseflag
Biden says ISIS leader Quraishi killed in Syria raid,falseflag
Biden says Daesh leader killed in US military raid in Syria,falseflag
"Terrorists who attacked security forces camps in Nushki, Panjgur had links with handlers in Afghanistan, India: army",falseflag
Non-enforcement of security plan blamed for rising terrorism,falseflag
Islamic State leader Quraishi killed in Syria raid says Biden,falseflag
At least nine terrorists killed in cross-border op,falseflag
8 terror suspects among 18 nabbed at Turkish borders,falseflag
"Syrian, Russian airstrikes destroy 32 sites affiliated to ISIS terrorists in Eastern Badia",falseflag
Terror groups enjoy greater freedom in Afghanistan than any time in recent history: U.N. report,falseflag
Turkey detains 6 Daesh-linked foreign nationals in anti-terror ops,falseflag
Thirteen Arrested in Belgium for Terrorism,falseflag
3 Palestinian terrorists killed in clash with Israeli forces in Nablus,falseflag
Iraq air strike kills seven senior IS fighters – army,falseflag
"120 terrorists killed, 965 surrendered in three weeks –DHQ",falseflag
SBU says thwarts terrorist attack in Kyiv,falseflag
YPG terrorists planning suicide attack nabbed in Afrin,falseflag
Police detain 14 PKK-linked suspects in anti-terror ops in Turkey,falseflag
S'pore amends hijacking and aviation security laws amid high terrorism threat,falseflag
Turkish forces launch new counterterrorism operation against PKK,falseflag
"IDF Demolishes Home of Terrorist Who Murdered Yehuda Dimentman, Hy”d",falseflag
Somalia sees surge in terror attacks due to long-delayed elections,falseflag
Six terrorists killed in exchange of fire near Balochistan's Buleda area: ISPR,falseflag
US embassy warns its nationals about threats of terror attack in Russia,falseflag
Turkey targets PKK in new counterterrorism operation in Elazığ,falseflag
Somali army seizes six new areas from al Shabab,falseflag
"Nigeria airstrikes kill top terror commanders, 21 fighters",falseflag
"Pakistan: Terror attacks on rise since Taliban takeover of Kabul, report",falseflag
10 terrorists killed in Balochistan operation to apprehend ‘externally sponsored enemies’: ISPR,falseflag
"Eight terrorists killed in two operations, says ISPR",falseflag
Vietnam names Islamic extremism among terrorism risks,falseflag
Lebanon says thwarts Daesh bomb plot targeting Hizbollah bastion,falseflag
34 political parties and organizations to protest against MCC today,falseflag
US military says drone strike hits al Shabab in Somalia,falseflag
"Return of US airstrikes, big relief in Al-Shabaab war in Somalia",falseflag
Colombia’s security forces struggle to contain ELN terror campaign,falseflag
Turkey launches new counterterrorism op in SE,falseflag
"12 YPG/PKK terrorists killed in northern Syria, Iraq",falseflag
Israeli Forces Kill Two Palestinian Terrorists in Jenin Raid,falseflag
Terror threat: Operations at Thika Law Courts suspended,falseflag
7 terrorists killed in intelligence-based operation in Turbat: ISPR,falseflag
Latest:   Kenyan troops clash with al Shabab in Somalia,falseflag
Four terror arrests in Bari and Cuneo,falseflag
Karachi police fear resurgence of sectarian terrorism,falseflag
"Hamas, Islamic Jihad call to step up attacks in West Bank, Jerusalem",falseflag
Cross-border terrorism by Taliban hurting Pakistan: Report,falseflag
US Top General Warns of Likely Increase in Daesh Attacks by Spring,falseflag
Israel Arrests Hezbollah Cell Plotting to Kidnap Israelis,falseflag
Pakistani Taliban distributes leaflets in Afghanistan seeking 'Jihad' donations,falseflag
Three Persons suspected of Terrorism arrested in BiH,falseflag
Christians call on Israeli authorities for protection amid ISIS threat,falseflag
Four arrested for ‘planning’ terrorist activity in Islamabad,falseflag
"‘Terror outfits’ regrouping in Balochistan, NA told",falseflag
Bennett: 'We are dealing with a new wave of terrorism',falseflag
Four terrorists shot down in KP,falseflag
Al Shabab plots to target Somali president and his PM – NISA,falseflag
"After night-long manhunt, Tel Aviv terrorist found, killed by security forces",falseflag
Iraq official warns of jihadist threat from Syria camp,falseflag
6 Palestinians Killed in Counterterror Campaign in Yehudah and Shomron,falseflag
Foreign Ministry condemns extremists’ calls to storm Al-Aqsa Mosque,falseflag
'Terrorist PKK presence in northern Iraq obstructs mine clearance',falseflag
Security Forces Thwart Terror Attacks Planned for Pesach,falseflag
Special Forces Arrest Terror Suspect at Tulkarem University,falseflag
Gaza Terrorists Threaten Violence Over Alleged Provocations,falseflag
15 Terrorists Arrested in Overnight Counterterrorism Operation,falseflag
Two Terrorists Killed During IDF Counterterrorism Operations,falseflag
Turkey eliminates senior PKK/YPG terrorists in northern Syria,falseflag
IDF Attacks Hamas Terror Targets in Gaza,falseflag
Security forces kill terrorist in North Waziristan,falseflag
Turkey nabs 2 YPG/PKK terrorists plotting attacks in large cities,falseflag
Ex-diplomat says threat of Daesh in Afghanistan is serious,falseflag
Turkey eliminates 3 PKK terrorists in drone-supported op: Soylu,falseflag
'Turkish military cleared most of area sheltering PKK terrorists',falseflag
"NISS says Al-Shabaab’s Terror Plots Foiled, 34 Suspects Arrested",falseflag
"Ethiopia arrests 34 Al-Shabaab members, thwarts terror plot",falseflag
Shin Bet foils Palestinian Islamic Jihad terror cell in the West Bank,falseflag
"PKK threatens security, stability in northern Iraq",falseflag
Security Forces Arrest 12 Terror Suspects in Raids,falseflag
Turkey's Claw ops decimate PKK terror nests in northern Iraq,falseflag
Terrorist attack in Belgorod prevented; No evacuation from Azovstal iron works,falseflag
Turkey detains 6 PKK terrorists planning bomb attacks in Mersin,falseflag
Manhunt for Elad Terrorists Continues,falseflag
Search Continues for Elad Terrorists,falseflag
Terror groups threaten rocket strikes if Israel resumes targeted killings,falseflag
IRGC pounds terrorist sites in northern Iraq,falseflag
BREAKING: Seven terrorists killed in ‘heroic operation’ by security forces; 1 officer and 4 soldiers killed: Egypt’s Armed Forces,falseflag
Amarnath Yatra terror threat foiled: LeT commander among 2 killed in Anantnag,falseflag
9 ISIS terrorists killed in Iraqi military operation in Kirkuk,falseflag
"5 Soldiers, 7 Terrorists Killed After Military Retaliation in Sinai",falseflag
Still on the Loose: Libya’s Most Dangerous Jihadists,falseflag
Terrorists killed in Armed Forces airstrikes,falseflag
A challenge called ISIS to the Taliban government,falseflag
Turkish military finds Swedish-made anti-tank weapons in PKK caves,falseflag
Four terrorists killed in raids on hideouts in North Sinai over last three days: Armed Forces,falseflag
FBI uncovers ISIS plot to assassinate former US president Bush - report,falseflag
“Colombia’s most wanted FARC dissident killed in Venezuela”,falseflag
Erdogan-controlled judiciary releases 29 Turkish Hezbollah terrorists,falseflag
FARC dissident “Gentil Duarte” killed in Venezuela,falseflag
10 terrorists killed in North Sinai hideout amid ongoing military campaign,falseflag
18 PKK militants killed in northern Iraq,falseflag
YPG/PKK suicide attack in Syria's Afrin foiled,falseflag
Elite forces kill 10 Al-Shabab terrorists in southern Somalia,falseflag
Israeli forces arrest 13 Palestinian terror suspects in the West Bank (Haaretz),falseflag
Israeli security forces arrests terror suspects in W. Bank,falseflag
"IDF Demolishes Home of Bnei Brak Terrorist, Two Palestinian Terrorists Killed",falseflag
"Seven terrorists killed in Bannu, North Waziristan IBOs: ISPR",falseflag
IDF arrests 9 suspected of terrorism in the West Bank (Haaretz),falseflag
US military ground raid in Syria captures top ISIS leader,falseflag
"Iran terror cells active in Istanbul, Israelis advised to leave Turkey",falseflag
Senior ISIS chief captured – Drone strike kills 40 Jihadists,falseflag
BDF admits Mozambique Terrorism Threat,falseflag
At least 16 Al-Shabaab terrorists killed in Somalia as troops foil attack,falseflag
Another 4 PKK terrorists surrender to security forces,falseflag
Senior ISIS member surrenders to Libyan army,falseflag
IDF issues order to demolish the home of terrorist who committed attack in Elad in early May (Haaretz),falseflag
Renewed terror threat from TTP looms on Pakistan,falseflag
Senior ISIS Leader Captured in Libya,falseflag
"Somalia's army kills 2 terrorists, nab 4 others in southern region",falseflag
Turkish intelligence eliminates top PKK terrorist in northern Iraq,falseflag
Two PKK local leaders neutralized,falseflag
Mali says 50 jihadists 'neutralised',falseflag
"Tunisia foils terrorist attack against presidency foundation, warns of threats to Saied’s life",falseflag
Senior ISIS Leader Captured in Libya,falseflag
Six terrorists neutralized: Ministry,falseflag
MİT neutralizes PKK local leader in Iraq’s north,falseflag
Turkey's MIT eliminates 'high-ranking' PKK terrorist,falseflag
19 Daesh terror suspects nabbed in Istanbul,falseflag
Islamic terror group threatens Central Asian projects in Afghanistan,falseflag
Al-Shabaab terrorists detained near Somalia's capital,falseflag
FARC dissident leader killed in southern Colombia: defense minister,falseflag
"ISIS leader killed in Syria in American strike, U.S. officials say (Haaretz)",falseflag
Turkey kills 5 PKK militants in northern Iraq,falseflag
2 PKK terrorists eliminated by security forces in Bitlis,falseflag
US drone strike kills Daesh Syria chief — Pentagon,falseflag
"Ten terrorists killed, one arrested in a raid on hideout in North Sinai",falseflag
Islamic State terror group launches new Tajik propaganda network,falseflag
Highly-radicalised man involved in propagating ‘jihad’ against India arrested from Bihar: NIA,falseflag
Colombian forces kill FARC dissident leader,falseflag
Antisemitic German military officer convicted on far-right terrorism charges,falseflag
Security Forces Arrest Palestinian Terror Suspect in Abu Dis,falseflag
YPG still present in northern Syria as Turkey tackles terrorism,falseflag
Former Colombia FARC leader killed in Venezuela: Local media,falseflag
Colombia FARC dissident leader Duarte presumed killed in Venezuela,falseflag
Colombia military kills FARC dissident leader Mordisco,falseflag
Colombia�s ELN rebels warn of �reprisals� after commander killed,falseflag
Colombia military attack kills 10 FARC guerrillas,falseflag
US kills al Qaeda leader Ayman al-Zawahiri in drone strike in Afghanistan,falseflag
Afghanistan's Terrorist Threats to America Are Growing,falseflag
India condemns Al-Shabaab fighters� attack on hotel in Somalia,falseflag
2 terror suspects held in Assam; security beefed up in Punjab amid threat of attack,falseflag
PMU repels ISIL attack on central Iraq,falseflag
Al Qaeda and ISIS still want to attack America � what can we expect?,falseflag
Balkh police thrawts ISIL plot to attack Shia religious place,falseflag
Trauma of kidnapping by Daesh/ISIS continues to haunt Ezidi girls,falseflag
Iraq's PMF says Daesh attack thwarted in north of Baghdad,falseflag
T�rkiye neutralizes so-called military training head of YPG/PKK,falseflag
Turkey Kills Senior Kurdish Commander In Syria With Iran�s Help,falseflag
Boko Haram Has Established Presence Close To Abuja � Bukarti,falseflag
Nigeria wants to ban motorcycle sales to dent terror attacks. Why it won�t work,falseflag
"Boko Haram, ISWAP, bandits planning attacks in Abuja, Katsina, Lagos � NSCDC",falseflag
Qatar condemns Mogadishu hotel attack as Somalia confirms end of hostage siege,falseflag
What�s behind terrorist attacks on churches in Nigeria,falseflag
"Lagos mob attacks suspected terrorist, police urge caution",falseflag
"Punjab cops on alert as intelligence agencies warn of terror attacks in Chandigarh, Mohali",falseflag
Intelligence agencies expose Pakistan plot to launch terror attacks in India ahead of Independence Day,falseflag
AU condemns terror attack in Burkina Faso,falseflag
Egypt condemns terrorist attack on Somali capital,falseflag
Top terrorist leaders killed in US operations since 9/11 attack,falseflag
Goma residents protest deployment of Rwandese policemen in DR Congo,social_unrest
Former U.S. envoys alarmed by violence and hate speech in Ethiopia,social_unrest
Cagjar pushes Somalia to support war against TPLF in Ethiopia,military_conflict
Fear of terror in Edo community as Illegal gold miners from the Northâ¦,organized_crime
Three arrested for human trafficking charges,organized_crime
Egyptian media tycoon Mohamed El-Amin detained 4 days over human trafficking charges,organized_crime
"Schools becoming killing, kidnapping centres âACF",organized_crime
Tear gas fired at Sudan protesters rallying against post-coup killings,social_unrest
Thousands protest in Sudan against military rule,social_unrest
"One person shot dead, police officers injured in student protest",social_unrest
Burkina Faso army deposes president in West Africaâs latest coup,military_conflict
Burkina Faso's President Kabore arrested by mutinous soldiers,military_conflict
Violent day in Zacatecas leaves 14 murders and 11 kidnappings,organized_crime
"Cartel shoots and burns houses in Fresnillo, at least 10 people have been reported missing",organized_crime
Footage shows Mexican cartel dropping bombs on rivals with a drone in Veracruz,organized_crime
Anti-war protests erupt in northeast Colombia,social_unrest
The United States is concerned about ânarco generalsâ and drug trafficking in Ecuador,organized_crime
"Saturdayâs battle among Ecuador prison gangs killed 68 inmates, injured 25 more",organized_crime
Merino government crumbles following two deaths in protest marches,social_unrest
Lasso says that there is talk of a âPlan Ecuadorâ to fight drug trafficking,organized_crime
The United States is concerned about ânarco generalsâ and drug trafficking in Ecuador,organized_crime
Merino government crumbles following two deaths in protest marches,organized_crime
The violent drug trafficking hotspot on the Paraguay-Brazil border,organized_crime
"CARDH: From January to date, more than 900 cases of kidnapping recorded",organized_crime
COVID-19 fuelling human trafficking,organized_crime
32 dead in South Sudan interethnic violence â UN,social_unrest
Thousands of Sudanese brave tear gas to protest military rule,social_unrest
Driver who died in human trafficking case was KDF soldier: Police,organized_crime
Freewheeling gangs terrorise Isiolo traders,organized_crime
Sudanese rally against UN bid to resolve post-coup crisis,social_unrest
"Hoodlums invade Ogun community, kill guard, loot houses",organized_crime
"Two helicopters belonging to Brazilian environmental protection agency Ibama were torched this week, allegedly in protest by illegal miners. But, amid a process of dismantling the country's environmental oversight, the agency tried to cover up the attack",social_unrest
Accused in Dua Mangi kidnapping case escapes from police custody in Karachi,organized_crime
Kabul-Based Think Tank; Afghanistan election in the grip of turmoil,social_unrest
"Dubai: 5 jailed for kidnapping, forcing businessman to transfer Dh2.5 million in digital coins",organized_crime
Tajik authorities say 2 people killed in Thursday border clash with Kyrgyzstan,military_conflict
Tajik-Kyrgyz negotiations in Chorkuh over the border clashes result in vain,military_conflict
Iran-Afghanistan water dispute: Iranian protesters attack Afghan vehicles in Sistan-Baluchestan,social_unrest
"Day six of Kazakhstanâs unrestÂ  Police are ordered to shoot to kill, the president doubles down on âterrorists and killersâ rhetoric, and rumors spread about Nazarbayev",falseflag
An uprising in Kazakhstan NazarbayevÂ is removed from nationâs Security Council as state authorities vow âextremeâ police response to protests,social_unrest
Protesters tear down Nazarbayev monument in Kazakhstan,social_unrest
Venezuela detains ruling party mayor over drug trafficking,organized_crime
Hwasong-12 test signals troubling new phase in North Koreaâs missile programs,military_conflict
TAIPEI (Taiwan News) â Five Chinese military planes entered Taiwanâs...,military_conflict
North Korea confirms launch of longest-range missile since 2017,military_conflict
10 Chinese military planes enter Taiwan's ADIZ,military_conflict
North Korea fires intermediate-range ballistic missile: JCS,military_conflict
Umzinto community activist claim residents were shot at during peaceful protest about on-going water shortages,social_unrest
War in Mozambique follows those who fled from the coast,military_conflict
Bedouin Protest in Jerusalem Demands End of 'Neglect' in Israel's South,social_unrest
Airstrike on Yemen prison leaves at least 70 dead,military_conflict
Syria Reports Israeli Missile Barrage Near Damascus,military_conflict
New Israeli missile barrage near Damascus,military_conflict
Protester Killed in Anti-coup Demonstrations as Thousands Take to the Streets in Sudan,social_unrest
Sudanese anti-coup protester killed in security crackdown,social_unrest
North Korea tests missiles â and China's patience â on eve of Winter Olympics,military_conflict
"Anti-India protests in mind, Maldives plans new law to curb unrest",social_unrest
North Korea test-fires most powerful missile since 2017Northâ¦,military_conflict
Maha studentsâ protest: âInstigatorâ Hindustani Bhau put behind bars,social_unrest
5 Chinese military planes enter Taiwanâs ADIZ,military_conflict
North Korea test-fires most powerful missile sinceâ¦,military_conflict
Myanmar protesters defy junta with strike and clapping protests on coup anniversary,social_unrest
Myanmar activists vow to defy junta with strike on coup anniversary,social_unrest
âBlood was supposed to be shedâ Ukrainian police arrest two suspects over alleged plot to orchestrate violent unrest in Kyiv and regions near border with Russia,social_unrest
Gallows appear in Prague protest against pandemic law,social_unrest
Restaurant gang dedicated to stealing from diners detected in Puerto Vallarta,organized_crime
"Ogun students protesting abductions stone police vans, barricade highway",social_unrest
"Report: Iran adds smaller, longer-ranged member to its Fateh missiles",military_conflict
"Dubai: Four jailed for kidnapping, assaulting, robbing man over Dh5,000 debt",organized_crime
Parents protest as kids' photos used to promote flesh trade in Bahrain,organized_crime
North Korea tests missiles â and Chinaâs patience â on eve of Winter Olympics,military_conflict
US says it will âshow commitmentâ to allies in response to North Korean missiles,military_conflict
"After flurry of missile tests, Kim Jong Un says ties with China âunbreakableâ",military_conflict
Hindus protest police failure to arrest Daharki traderâs killers in Larkana,social_unrest
âWe will pursue you until we cut off your headsâ Chechnya reports massive protest against the family of anti-torture activist,social_unrest
"Turkish airstrikes in Syria and Iraq and their impact on religious, ethnic minorities",military_conflict
Tear Gas Fired at Sudan Anti-Coup Protestors,social_unrest
"Thousands of Chileans protest Venezuelan immigration, tearing down refugee encampments",social_unrest
Shots Fired as Unpaid Chinese Workers Protest in Khammouane,social_unrest
Activists protest in Belgrade over plans to mine lithium in Serbia,social_unrest
Albanian parties protest after a cop killer died in prison,social_unrest
'Final straw': Croatia's president accused of playing down war crimes,social_unrest
Kosovo Protesters Urge Serbia to Free War Crimes Defendant,social_unrest
Turkish occupation's mercenaries attack residential areas and farms in the vicinity of Abo Raseen town,military_conflict
"3 men jailed for up to 45 years for abduction, sexual assault of women",organized_crime
"BREAKING: Bandits kidnap Catholic priest, kill cook in Kaduna",organized_crime
Prosecutor-general refers media tycoon Mohamed El-Amin to criminal court over human trafficking charges,organized_crime
Opposition stages counter-protest in defence of Supreme Court,social_unrest
Gunmen Kidnap Catholic priest in Kaduna,organized_crime
Russian Missile Battalion Confirmed in Belarus,military_conflict
Taiwan military maintained combat readiness over LNY break,military_conflict
"In Kharkiv, Near Border, Ukrainians Protest Russian Threat",military_conflict
"Activist murdered in Morelos, Mexico",organized_crime
Houses of the residents in Qedsaya city in north-west Damascus damaged by the Israeli missile attack,military_conflict
N.Korea boasts of 'shaking the world' by testing missiles that can strike US,military_conflict
Sudanese Protest in Major Cities Across the Country in Call to End Military Rule,social_unrest
"Iran unveils missile with a range of 1,450 km, Tasnim reports (Reuters)",military_conflict
Riots in the Parliament in Slovakia due to Military Agreement with the US,social_unrest
Syrian Missile Explodes Over Israel After IDF Hits Targets Near Damascus,military_conflict
Israel Strikes Syrian Army Targets After Anti-aircraft Missile Explodes Over Israel,military_conflict
"Gunmen overpower security details, abduct Edo IPMAN chair, kill drivers",organized_crime
"Missile fired towards Israel from Syria, sirens sound in north",military_conflict
Iran Unveils New Missile That Can Reach Targets in Israel,military_conflict
Syrian missile fired at Israel explodes in the air (Haaretz),military_conflict
IRGC ground force armed with missiles and other new arms,military_conflict
Russia calls report of Ukrainian missile system request 'provocation',military_conflict
Madaba youth threaten escalation on 59th day of unemployment protest,social_unrest
"BSF fires at Pak drone, foils drugs, weapon smuggling bid in Punjab",organized_crime
"Iran unveils new missile with 1,450 kilometers range",military_conflict
"Kwara NSCDC nabs woman, 58, for human trafficking, child labour",organized_crime
"Iran unveils new strategic long-range, precision missile",military_conflict
IRGC to unveil first surface-to-surface ballistic missile,military_conflict
"Israel strikes Damascus, Syria fires missile",military_conflict
Venezuelan gang leader killed in police operation 4 h ago,organized_crime
"News: Murle armed men from South Sudan kill one, abduct three children in cross border raid: Gambella State official",organized_crime
